Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Login,,,2018-02-01 11:07:37,2018-02-01 11:08:48,1m - 10.949s,PASSED
,,,,,,
Test Cases/iOSwithKobiton,,,2018-02-01 11:07:38,2018-02-01 11:08:48,1m - 10.712s,PASSED
startApplication,,,2018-02-01 11:07:38,2018-02-01 11:08:02,24.525s,PASSED
tap,,,2018-02-01 11:08:02,2018-02-01 11:08:13,10.136s,PASSED
tap,,,2018-02-01 11:08:13,2018-02-01 11:08:20,7.667s,PASSED
tap,,,2018-02-01 11:08:20,2018-02-01 11:08:29,9.110s,PASSED
setText,,,2018-02-01 11:08:29,2018-02-01 11:08:39,9.496s,PASSED
tap,,,2018-02-01 11:08:39,2018-02-01 11:08:47,8.153s,PASSED
closeApplication,,,2018-02-01 11:08:47,2018-02-01 11:08:48,1.362s,PASSED
